,Tipo de Empresa,Mercado,Edad Empresa,Rol,Fundador,% en Desarrollo,% en Gerencia de proyectos,% liderazgo técnico,% Gerencia de ingeniería,Experiencia en rol actual,Experiencia en desarrollo de software,Lenguaje más usado,Otro lenguaje ,Tipo de relación laboral,Modo de trabajo,Preferencias de modo,Tipo de titulo,PRE-grado relacionado Ing,POST-grado relacionado a Ing,Clases de programación en la universidad,Max Titulo,Bootcamp,Url bootcamp,Nivel de Ingles,Moneda de Pago,Remuneración Anual,Remuneración anual adicional,Remuneración Anual anterior,Pago Seguro de Salud,Pago Seguridad Social,Acciones dentro de la empresa,Total acciones,Precio acciones,Freelancer,Ingresos freelancer,Salario Justo,Web de trabajo,Ciudad Residencia,Origen,Año de Nacimiento,Cnt Hijos,Genero,Minoría racial o étnica,Horas de trabajo,Máx % Dev,Máx % I.M,Máx % Tech L,Máx % PM,Rol principal,Ingreso en dólares,Nivel de ingles,Ingreso en pesos,Order by Exp,count,Origen 2,Nacionalidad
130,,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,Frontend Engineer,no,90 - 100%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,1+ año,1+ año,Javascript,C#,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,no,si,pregrado,No,,1,pesos,51000000.0,3400000,0,mi empleador,mi empleador,no,,,no,0,si,,Bogota,Colombia,1995,0,él,no,40.0,100,0,10,10,Desarrollo,13783.8,Básico,51000060.0,2,1,Colombia,Colombia
131,Extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Android Mobile Developer,no,60 - 70%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,Kotlin,Java,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,72000000.0,0,65000000,mi empleador,mi empleador,no,,,no,0,no,http://linkedin.com,Cota,Colombia,1994,0,él,no,40.0,70,0,0,0,Desarrollo,19459.5,Intermedio,72000150.0,4,1,Colombia,Colombia
132,"Colombiana, Mer Local","servicio no tecnológico (banca, seguros, contabilidad, etc)",5 - 10,Frontend Engineer.,no,70 - 80%,10 - 20%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,3 - 5 años,3 - 5 años,Javascript,"Go, PHP, TypeScript",contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,técnico,no,no,no,"técnico, tecnología, bachiller técnico",No,,1,pesos,11844000.0,3600000,0,mi empleador,mi empleador,no,,,si,15000000,no,https://linkedin.com,Cartago,Colombia,1999,0,él,no,44.0,80,0,0,20,Desarrollo,3201.1,Básico,11844070.0,4,1,Colombia,Colombia
133,,consultoría y servicios de desarrollo de software a la medida,más de 10,No especificado,no,80 - 90%,no tengo responsabilidades de este tipo,30 - 40%,no tengo responsabilidades gerenciales,1+ año,2+ años,Javascript,TypeScript,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,,3,pesos,54000000.0,4500000,29700000,mi empleador,mi empleador,no,,,no,0,si,,Medellin,Colombia,1996,0,él,no,40.0,90,0,40,0,Desarrollo,14594.6,Avanzado,54000020.0,3,1,Colombia,Colombia
134,Extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Architect,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,10 - 15 años,C#,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,si,si,pregrado,No,,3,pesos,120000000.0,0,105000000,mi empleador,mi empleador,no,,,no,0,si,,Medellin,Colombia,1983,0,él,no,40.0,100,0,0,0,Desarrollo,32432.4,Avanzado,119999880.0,6,1,Colombia,Colombia
135,"Colombiana, Mer Latam","servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",5 - 10,Ingeniero Líder,no,50 - 60%,10 - 20%,20 - 30%,0 - 10%,5 - 10 años,10 - 15 años,Ruby,Python,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,no,si,pregrado,No,,1,pesos,120000000.0,0,40000000,mi empleador,no tengo,no,,,no,0,si,,Bogota,Colombia,1981,3,él,no,40.0,60,10,30,20,Desarrollo,32432.4,Básico,119999880.0,6,1,Colombia,Colombia
136,"Colombiana, Mer Local",consultoría y servicios de desarrollo de software a la medida,más de 10,Ingeniero de desarrollo ,no,70 - 80%,20 - 30%,50 - 60%,30 - 40%,menos de 1 año,5 - 10 años,C#,C#,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,soy estudiante de post-grado relacionado a ing de sistemas,si,"técnico, tecnología, bachiller técnico",No,,1,pesos,48000000.0,4000000,4600000,mi empleador,mi empleador,no,,,no,0,no,http://www.elempleo.com,Medellin,Colombia,1993,0,ella,no,48.0,80,40,60,30,Desarrollo,12973.0,Básico,48000100.0,5,1,Colombia,Colombia
137,"Colombiana, Mer Local","servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,Development,no,80 - 90%,10 - 20%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,10 - 15 años,10 - 15 años,Dart,JavaScript,Obra o labor,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,ningúno,si,no,no,"técnico, tecnología, bachiller técnico",No,,1,pesos,21600000.0,0,1800,mi empleador,mi empleador,no,,,si,5000000,no,http://linkedin.com,Cali,Colombia,1978,2,él,no,56.9,90,0,0,20,Desarrollo,5837.8,Básico,21599860.0,6,1,Colombia,Colombia
138,"Colombiana, Mer Latam","servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,SemiSr software Developer,no,60 - 70%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,1+ año,2+ años,Python,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,estoy estudiando,si,no,si,"técnico, tecnología, bachiller técnico",No,,2,pesos,60000000.0,5000000,21600000,mi empleador,mi empleador,no,,,no,0,si,http://linkedin.com,Bogota,Colombia,1996,0,él,no,40.0,70,0,20,10,Desarrollo,16216.2,Intermedio,59999940.0,3,1,Colombia,Colombia
139,Extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,DevOps,no,70 - 80%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,3 - 5 años,10 - 15 años,Ruby,"Go, PHP, Python",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,ningúno,no,no,si,bachiller,No,,3,pesos,144000000.0,144000000,84000000,mi empleador,mi empleador,si - rsus,10000.0,10.0,no,0,si,,Bogota,Colombia,1985,0,él,no,30.0,80,0,10,10,Desarrollo,38918.9,Avanzado,143999930.0,6,1,Colombia,Colombia
140,Extranjera,"servicio no tecnológico (banca, seguros, contabilidad, etc)",5 - 10,Analista ,no,90 - 100%,no tengo responsabilidades de este tipo,60 - 70%,no tengo responsabilidades gerenciales,1+ año,2+ años,Java,"JavaScript, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,no,"técnico, tecnología, bachiller técnico",No,,1,pesos,27600000.0,3000000,0,mi empleador,mi empleador,no,0.0,0.0,no,0,no,http://linkedIn.com,Bogota,Colombia,1997,0,él,no,9.0,100,0,70,0,Desarrollo,7459.5,Básico,27600150.0,3,1,Colombia,Colombia
141,,consultoría y servicios de desarrollo de software a la medida,más de 10,Web UI Developer ,no,80 - 90%,0 - 10%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,Javascript,JavaScript,contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,técnico,no,no,no,"técnico, tecnología, bachiller técnico",No,,2,pesos,73560000.0,16800000,39600000,mi empleador,mi empleador,no,,,no,4800000,no,https://www.linkedn.com,Bogota,Colombia,1993,0,él,no,37.0,90,0,0,10,Desarrollo,19881.1,Intermedio,73560070.0,4,1,Colombia,Colombia
